Outlier,Imputer,Scaler,RMSE,MSE,MAE,R2,SampleCount,FoldCount,Dataset
yeojohnson,median,quantile,11.738856256092598,154.81945935464674,9.41278205,0.38597376487199603,20,5,Titanic
yeojohnson,median,unit_vector,10.794304032834878,135.45772446628007,8.704328400000003,0.43860497967512446,20,5,Titanic
yeojohnson,knn,none,12.104536429018456,167.59314651500836,9.853495549999998,0.37589595831985034,20,5,Titanic
yeojohnson,knn,standard,12.104536429018456,167.59314651500836,9.853495549999998,0.37589595831985034,20,5,Titanic
yeojohnson,knn,minmax,12.104536429018456,167.59314651500836,9.853495549999998,0.37589595831985034,20,5,Titanic
yeojohnson,knn,robust,12.104536429018456,167.59314651500836,9.853495549999998,0.37589595831985034,20,5,Titanic
yeojohnson,knn,quantile,11.73666295008504,159.6946999423258,9.497802199999999,0.4042530770658373,20,5,Titanic
yeojohnson,knn,unit_vector,10.80030134853637,136.41604630577442,8.751351150000001,0.43970415751147696,20,5,Titanic
yeojohnson,most_frequent,none,12.100481917222353,162.692199343117,9.786987050000004,0.3653760023068303,20,5,Titanic
yeojohnson,most_frequent,standard,12.100481917222353,162.692199343117,9.786987050000004,0.3653760023068303,20,5,Titanic
yeojohnson,most_frequent,minmax,12.100481917222353,162.692199343117,9.786987050000004,0.3653760023068303,20,5,Titanic
yeojohnson,most_frequent,robust,12.100481917222353,162.692199343117,9.786987050000004,0.3653760023068303,20,5,Titanic
yeojohnson,most_frequent,quantile,11.625448933187597,153.9987890100968,9.337527000000003,0.4083769980363047,20,5,Titanic
yeojohnson,most_frequent,unit_vector,10.778428164255896,126.96359830027214,8.536109000000003,0.41742227210163635,20,5,Titanic
yeojohnson,constant_zero,none,11.935780432992676,159.41840271634243,9.314043650000004,0.38300016002976356,20,5,Titanic
yeojohnson,constant_zero,standard,11.935780432992676,159.41840271634243,9.314043650000004,0.38300016002976356,20,5,Titanic
yeojohnson,constant_zero,minmax,11.935780432992676,159.41840271634243,9.314043650000004,0.38300016002976356,20,5,Titanic
yeojohnson,constant_zero,robust,11.935780432992676,159.41840271634243,9.314043650000004,0.38300016002976356,20,5,Titanic
yeojohnson,constant_zero,quantile,11.555876128653827,153.00727648059865,8.946681900000002,0.418284381322269,20,5,Titanic
yeojohnson,constant_zero,unit_vector,10.616435927394843,123.06754554088359,8.365701600000001,0.4445712738542696,20,5,Titanic
yeojohnson,iterative,none,12.02288944172465,164.87764478468688,9.791509199999998,0.3856953755873315,20,5,Titanic
yeojohnson,iterative,standard,12.02288944172465,164.87764478468688,9.791509199999998,0.3856953755873315,20,5,Titanic
yeojohnson,iterative,minmax,12.02288944172465,164.87764478468688,9.791509199999998,0.3856953755873315,20,5,Titanic
yeojohnson,iterative,robust,12.02288944172465,164.87764478468688,9.791509199999998,0.3856953755873315,20,5,Titanic
yeojohnson,iterative,quantile,11.449988450264296,151.31955257974462,9.230886049999999,0.4289203964533373,20,5,Titanic
yeojohnson,iterative,unit_vector,10.813807397260984,135.88705971025007,8.622804500000003,0.43464346982543206,20,5,Titanic
yeojohnson,drop,none,13.475176740704814,221.67587323725746,11.020942333333334,-0.8991963909475187,17,5,Titanic
yeojohnson,drop,standard,13.475176740704814,221.67587323725746,11.020942333333334,-0.8991963909475187,17,5,Titanic
yeojohnson,drop,minmax,13.475176740704814,221.67587323725746,11.020942333333334,-0.8991963909475187,17,5,Titanic
yeojohnson,drop,robust,13.475176740704814,221.67587323725746,11.020942333333334,-0.8991963909475187,17,5,Titanic
yeojohnson,drop,quantile,13.599680210826184,222.73911479287352,11.034409000000004,-0.925439695273457,17,5,Titanic
yeojohnson,drop,unit_vector,11.055824724818988,167.9232817780002,8.763933800000007,0.03056849549638585,17,5,Titanic
